foodname,エネルギー(kcal),タンパク質(g),脂質(kcal),脂肪酸 飽和(g),n-6系 多価不飽和(g),n-3系 多価不飽和(g),炭水化物(g),食物繊維 総量(g),ビタミンA(μg),ビタミンD(μg),ビタミンE(mg),ビタミンK(μg),ビタミンB1(mg),ビタミンB2(mg),ナイアシン(mg),ビタミンB6(mg),ビタミンB12(μg),葉酸(μg),パントテン酸(mg),ビオチン(μg),ビタミンC(mg),ナトリウム(mg),カリウム(mg),カルシウム(mg),マグネシウム(mg),リン(mg),鉄(mg),亜鉛(mg),銅(mg),マンガン(mg),ヨウ素(μg),セレン(μg),クロム(μg),モリブデン(μg)
pancakes,644.0,14.64,182.97,9.83,1.79,0.17,101.33,1.91,152.99,1.06,0.94,9.44,0.15,0.34,0.75,0.1,0.65,30.49,1.43,12.78,1.5,562.7,389.26,188.81,22.94,310.8,1.48,1.16,0.12,0.36,16.24,17.59,5.42,15.75
beet_salad,82.0,3.2,1.8,0.0,0.0,0.0,18.6,5.4,0.0,0.0,0.2,0.0,0.1,0.1,0.6,0.14,0.0,220.0,0.62,0.0,10.0,60.0,920.0,24.0,36.0,46.0,0.8,0.6,0.18,0.3,0.0,0.0,0.0,0.0
foie_gras,255.0,4.15,224.55,9.16,0.31,0.0,0.75,0.0,500.0,0.45,0.15,3.0,0.14,0.41,1.2,0.15,3.8,110.0,2.19,0.0,3.5,22.0,65.0,1.5,5.0,75.0,1.35,0.5,0.93,0.03,0.0,0.0,0.0,0.0
panna_cotta,211.0,2.28,145.71,9.93,0.42,0.07,14.0,0.21,141.5,0.24,0.35,5.22,0.02,0.06,0.08,0.02,0.14,14.86,0.22,0.95,10.03,20.74,88.32,48.48,5.71,43.19,0.09,0.19,0.02,0.03,6.55,1.37,0.34,7.03
beignets,71.0,0.84,26.46,0.82,0.71,0.12,9.59,0.2,10.12,0.04,0.27,3.47,0.01,0.0,0.06,0.0,0.02,1.27,0.06,0.38,0.02,55.07,22.01,9.42,1.31,16.82,0.07,0.04,0.01,0.04,0.46,0.7,0.16,1.1
french_fries,320.0,3.92,128.79,1.57,4.86,0.97,43.74,4.19,0.0,0.0,2.03,24.3,0.16,0.08,2.03,0.47,0.0,47.25,0.96,0.0,54.0,2.7,891.0,5.4,47.25,64.8,1.08,0.54,0.2,0.26,0.0,0.0,0.0,0.0
peking_duck,752.0,19.07,571.05,17.68,8.46,0.26,18.17,0.0,225.0,48.75,0.3,12.0,0.34,0.47,5.42,0.53,0.92,6.19,1.74,8.57,3.64,585.11,488.21,25.76,28.63,143.27,3.02,1.95,0.26,0.04,4.67,63.99,1.99,8.91
bibimbap,593.0,17.41,244.89,6.77,6.07,0.33,67.62,7.56,525.74,0.65,2.05,90.17,0.28,0.37,3.69,0.37,0.7,266.86,2.05,13.07,31.27,2674.98,867.36,82.09,84.29,293.55,2.8,3.17,0.51,1.03,5.6,15.82,1.82,48.21
french_onion_sou,64.0,3.05,27.54,1.85,0.07,0.02,6.71,1.07,33.43,0.02,0.18,8.58,0.05,0.07,1.3,0.18,0.27,22.46,0.41,0.59,10.28,440.19,242.47,51.74,15.99,79.77,0.39,0.39,0.05,0.14,0.87,0.71,0.28,1.44
pho,200.0,3.45,7.65,0.17,0.04,0.0,43.06,0.0,0.09,0.0,0.0,0.0,0.04,0.26,3.62,0.09,1.49,18.0,2.3,0.09,0.0,93.57,210.49,17.79,10.25,78.8,2.13,0.04,0.09,0.04,0.04,0.04,0.17,0.09
bread_pudding,328.0,13.1,109.89,4.61,1.54,0.15,40.4,1.39,111.92,1.11,0.97,8.55,0.08,0.29,0.78,0.07,0.55,45.21,1.18,16.53,0.04,415.65,143.32,53.0,19.08,162.12,1.44,1.27,0.13,0.15,10.92,33.73,0.64,14.08
