name,名称,18:1 オレイン酸(mg),18:2 n-6 リノール酸(mg),18:3 n-3 α－リノレン酸(mg),18:3 n-6 γ－リノレン酸(mg),18:4 n-3 オクタデカテトラエン酸(mg),20:2 n-6 イコサジエン酸(mg),20:3 n-6 イコサトリエン酸(mg),20:4 n-3 イコサテトラエン酸(mg),20:4 n-6 アラキドン酸(mg),20:5 n-3 イコサペンタエン酸(mg),21:5 n-3 ヘンイコサペンタエン酸(mg),22:4 n-6 ドコサテトラエン酸(mg),22:5 n-3 ドコサペンタエン酸(mg),22:5 n-6 ドコサペンタエン酸(mg),22:6 n-3 ドコサヘキサエン酸(mg),Unnamed: 73,Unnamed: 74,n-3系 多価不飽和(g),n-6系 多価不飽和(g),name,アスパラギン酸(mg),アミノ酸合計(mg),アラニン(mg),アルギニン(mg),アンモニア(mg),イソロイシン(mg),エネルギー(kcal),カリウム(mg),カルシウム(mg),クロム(μg),グリシン(mg),グルタミン酸(mg),セリン(mg),セレン(μg),タンパク質(g),トリプトファン(mg),トレオニン(スレオニン)(mg),ナイアシン(mg),ナトリウム(mg),バリン(mg),パントテン酸(mg),ヒスチジン(mg),ビオチン(μg),ビタミンA(μg),ビタミンB1(mg),ビタミンB12(μg),ビタミンB2(mg),ビタミンB6(mg),ビタミンC(mg),ビタミンD(μg),ビタミンE(mg),ビタミンK(μg),プロリン(mg),マグネシウム(mg),マンガン(mg),モリブデン(μg),ヨウ素(μg),リシン(リジン)(mg),リン(mg),ロイシン(mg),亜鉛(mg),含硫アミノ酸(mg),炭水化物(g),脂肪酸 一価不飽和(g),脂肪酸 多価不飽和(g),脂肪酸 総量(g),脂肪酸 飽和(g),脂質(g),芳香族アミノ酸(mg),葉酸(μg),鉄(mg),銅(mg),食塩相当量(g),食物繊維 総量(g)
gnocchi,ニョッキ,218.55,208.3,20.25,,0.18,0.15,0.69,0.39,1.1,0.6,,,0.89,,,,,0.03,0.21,,306,3380.01,101.6,135.9,144.5,120.41,148,358.6,48.02,3.7,116.8,1041,146.3,7.81,5.08,41.3,100.4,1.3,517.1,159.5,0.54,76.3,0.63,13.2,0.09,0.07,0.06,0.16,24.5,0.01,0.4,1.65,337.8,23.42,0.16,8,0.01,107.59,74.8,219.19,0.55,131.6,27.98,0.24,0.22,1.13,0.63,1.39,273,18.45,0.63,0.12,1.31,1.62
ramen,ラーメン（醤油）,720.41,839.42,46.46,0.42,0.06,7.41,1.99,0.78,5.78,13.26,,0.18,2.65,0.24,3.13,,,0.06,0.84,,236.4,2119.52,127.57,69.9,70.2,111.66,416,623.69,73.22,1.02,93.76,484.85,112.26,42.97,20.55,5.3,90.69,7.59,4594.28,120.82,1.63,51.4,5.36,23.08,0.66,0.84,0.24,0.24,6.63,0.12,0.36,5.42,150.65,59.66,0.48,28.2,21.39,127.15,302.26,166.08,1.02,45.56,72.55,0.78,0.9,2.53,0.84,3.13,127.33,42.36,1.51,0.12,11.87,3.8
carrot_cake,キャロットケーキ,3752,3062.6,558.37,,,2.4,2.25,,22.5,,,1.35,1.2,,18,,,0.58,3.1,,277.25,3439.5,159.75,178.25,93.45,150.5,220,130.76,33.66,0.64,120.5,789.5,214.5,5.78,3.45,46.75,133.9,0.3,62.5,185.5,0.41,83.45,4.67,192.5,0.04,0.14,0.08,0.05,1,0.27,1.35,16.3,256.45,6.48,0.2,3.17,2.41,172.9,64.2,261.65,0.3,173.85,28.11,3.87,3.68,8.92,1.38,9.91,309.1,13.82,0.45,0.05,0.18,1.08
greek_salad,グリークサラダ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ravioli,ラビオリ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceviche,セビチェ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grilled_cheese_sandwich,グリルチーズサンドイッチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red_velvet_cake,レッドヴェルヴェットケーキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheesecake,チーズケーキ,4993.1,702.44,110.37,,2.25,7.01,21.02,4.65,53.42,8.4,,1.48,13.48,,22.17,,,0.17,0.79,,244.2,2689.8,131.55,149.7,57.33,126.9,315,66.82,41.26,0.29,89.85,502.8,181.8,5.96,5.44,37.8,117.06,0.1,121.7,157.2,0.43,68.28,4.43,214.19,0.04,0.23,0.15,0.02,1,0.5,0.77,9.54,168.78,6,0.04,3.79,3.84,168.96,69.38,218.76,0.49,140.49,16.96,5.71,0.95,21.11,14.43,24.36,255.24,11.41,0.42,0.01,0.34,0.18
grilled_salmon,焼き鮭,456,44.8,20.8,,28.8,11.2,5.6,28,16,216,,,58.4,7.2,384,,,0.74,0.09,,,,,,,,110,304,8,,,,,,18,,,4.8,45.6,,0.98,,,21.6,0.21,7.52,0.12,0.33,,26.4,1.04,,,24.8,0.01,,,,208,,0.4,,0.08,1.4,0.82,2.87,0.65,3.6,,10.4,0.32,0.06,0.08,
risotto,リゾット,10758.03,1146.97,118.03,,0.31,0.23,9.17,0.66,12.86,1.01,,,1.52,,,,,0.12,1.17,,368.53,3611.3,210.84,321.21,94.13,147.16,416,581.16,106.72,0.43,165.73,665.97,186.29,2.91,9.79,48.76,136.91,3.96,2180.73,201.9,1.28,94.48,3.61,105.63,0.19,0.54,0.27,0.31,30.3,0.16,2.33,37.53,170.36,45.49,0.54,38.93,0.78,175.17,214.06,288.58,1.55,141.61,40.05,11.11,1.28,20.12,7.69,22.26,315.97,57.07,1.52,0.27,5.63,2.68
cheese_plate,チーズ,1044,70.2,30.6,,,,,,,,,,,,,,,0.03,0.07,,306,4320,120.6,147.6,90,216,61,10.8,113.4,,79.2,900,198,,4.09,52.2,149.4,0.02,198,288,0.03,129.6,,46.8,0.01,0.58,0.07,0,,,0.2,0.36,468,3.42,,,,342,131.4,414,0.58,127.8,0.23,1.23,0.1,4.3,2.88,4.68,450,4.86,0.05,0.01,0.5,
